,id,Ville,latitude,longitude,date1,temp1,humidity1,rain1,date2,temp2,humidity2,rain2,date3,temp3,humidity3,rain3,date4,temp4,humidity4,rain4,date5,temp5,humidity5,rain5,temp_moy,rain_description
0,27,Collioure,42.52505,3.0831554,2024-05-16 09:00:00,15.47,74,3,2024-05-17 09:00:00,18.37,57,1,2024-05-18 09:00:00,19.29,71,3,2024-05-19 09:00:00,19.2,66,2,2024-05-20 09:00:00,19.55,63,4,18.375999999999998,2.6
1,25,Aigues Mortes,43.5661521,4.19154,2024-05-16 09:00:00,14.85,80,3,2024-05-17 09:00:00,17.67,61,1,2024-05-18 09:00:00,19.01,70,2,2024-05-19 09:00:00,19.34,58,3,2024-05-20 09:00:00,19.97,68,4,18.168,2.6
2,26,Saintes Maries de la mer,43.4515922,4.4277202,2024-05-16 09:00:00,14.36,76,3,2024-05-17 09:00:00,17.38,59,1,2024-05-18 09:00:00,18.69,73,1,2024-05-19 09:00:00,18.92,64,4,2024-05-20 09:00:00,19.21,74,5,17.712,2.8
3,24,Nimes,43.8374249,4.3600687,2024-05-16 09:00:00,14.62,84,6,2024-05-17 09:00:00,18.27,63,1,2024-05-18 09:00:00,19.91,56,2,2024-05-19 09:00:00,20.1,56,3,2024-05-20 09:00:00,20.76,63,3,18.732000000000003,3.0
4,22,Avignon,43.9492493,4.8059012,2024-05-16 09:00:00,15.21,81,6,2024-05-17 09:00:00,18.28,60,1,2024-05-18 09:00:00,20.64,49,1,2024-05-19 09:00:00,20.47,54,4,2024-05-20 09:00:00,20.23,66,4,18.966,3.2
5,23,Uzes,44.0121279,4.4196718,2024-05-16 09:00:00,14.21,85,6,2024-05-17 09:00:00,17.13,69,1,2024-05-18 09:00:00,18.75,62,2,2024-05-19 09:00:00,19.58,59,3,2024-05-20 09:00:00,19.84,69,4,17.902,3.2
6,12,Besancon,47.2380222,6.0243622,2024-05-16 09:00:00,12.89,89,5,2024-05-17 09:00:00,15.33,71,5,2024-05-18 09:00:00,18.62,60,1,2024-05-19 09:00:00,18.01,64,1,2024-05-20 09:00:00,18.46,70,4,16.662,3.2
7,20,Marseille,43.2961743,5.3699525,2024-05-16 09:00:00,16.98,75,6,2024-05-17 09:00:00,18.94,50,1,2024-05-18 09:00:00,19.51,57,1,2024-05-19 09:00:00,19.69,54,4,2024-05-20 09:00:00,20.0,63,5,19.024,3.4
8,16,Lyon,45.7578137,4.8320114,2024-05-16 09:00:00,11.9,89,6,2024-05-17 09:00:00,16.13,69,1,2024-05-18 09:00:00,18.04,63,4,2024-05-19 09:00:00,18.21,65,1,2024-05-20 09:00:00,17.29,73,5,16.314,3.4
9,17,Gorges du Verdon,43.7496562,6.3285616,2024-05-16 09:00:00,10.29,83,6,2024-05-17 09:00:00,13.97,48,1,2024-05-18 09:00:00,16.56,46,1,2024-05-19 09:00:00,16.54,48,5,2024-05-20 09:00:00,17.18,56,4,14.907999999999998,3.4
10,2,Bayeux,49.2764624,-0.7024738,2024-05-16 09:00:00,13.49,87,3,2024-05-17 09:00:00,15.17,78,1,2024-05-18 09:00:00,16.0,80,5,2024-05-19 09:00:00,15.71,82,3,2024-05-20 09:00:00,13.31,89,5,14.735999999999999,3.4
11,21,Aix en Provence,43.5298424,5.4474738,2024-05-16 09:00:00,15.84,85,6,2024-05-17 09:00:00,19.16,46,1,2024-05-18 09:00:00,21.26,41,1,2024-05-19 09:00:00,21.66,41,5,2024-05-20 09:00:00,21.62,52,5,19.908,3.6
12,15,Grenoble,45.1875602,5.7357819,2024-05-16 09:00:00,13.57,91,6,2024-05-17 09:00:00,18.58,57,1,2024-05-18 09:00:00,21.73,47,1,2024-05-19 09:00:00,21.5,60,4,2024-05-20 09:00:00,20.33,72,6,19.142,3.6
13,19,Cassis,43.2140359,5.5396318,2024-05-16 09:00:00,16.6,77,6,2024-05-17 09:00:00,18.36,48,1,2024-05-18 09:00:00,19.19,55,1,2024-05-19 09:00:00,19.1,55,5,2024-05-20 09:00:00,19.05,65,5,18.46,3.6
14,18,Bormes les Mimosas,43.1506968,6.3419285,2024-05-16 09:00:00,16.02,78,6,2024-05-17 09:00:00,18.15,52,1,2024-05-18 09:00:00,18.95,60,1,2024-05-19 09:00:00,18.95,66,5,2024-05-20 09:00:00,19.84,67,5,18.382,3.6
15,28,Carcassonne,43.2130358,2.3491069,2024-05-16 09:00:00,13.59,69,3,2024-05-17 09:00:00,17.76,58,1,2024-05-18 09:00:00,15.04,89,6,2024-05-19 09:00:00,17.2,76,4,2024-05-20 09:00:00,13.96,93,6,15.510000000000002,4.0
16,3,Le Havre,49.4938975,0.1079732,2024-05-16 09:00:00,12.61,84,2,2024-05-17 09:00:00,14.26,77,5,2024-05-18 09:00:00,15.05,77,5,2024-05-19 09:00:00,15.11,84,3,2024-05-20 09:00:00,14.1,87,5,14.225999999999999,4.0
17,1,St Malo,48.649518,-2.0260409,2024-05-16 09:00:00,11.89,87,1,2024-05-17 09:00:00,14.42,83,5,2024-05-18 09:00:00,15.07,79,4,2024-05-19 09:00:00,14.53,79,5,2024-05-20 09:00:00,14.12,87,5,14.006,4.0
18,14,Annecy,45.8992348,6.1288847,2024-05-16 09:00:00,12.07,88,6,2024-05-17 09:00:00,16.45,59,1,2024-05-18 09:00:00,19.16,54,2,2024-05-19 09:00:00,18.23,72,6,2024-05-20 09:00:00,18.23,77,6,16.828,4.2
19,30,Toulouse,43.6044622,1.4442469,2024-05-16 09:00:00,12.1,85,2,2024-05-17 09:00:00,16.19,67,2,2024-05-18 09:00:00,13.38,92,6,2024-05-19 09:00:00,16.49,76,5,2024-05-20 09:00:00,12.86,94,6,14.203999999999999,4.2
20,5,Paris,48.8534951,2.3483915,2024-05-16 09:00:00,14.34,78,5,2024-05-17 09:00:00,16.43,58,5,2024-05-18 09:00:00,19.36,54,3,2024-05-19 09:00:00,17.56,67,4,2024-05-20 09:00:00,17.42,73,5,17.022,4.4
21,8,Strasbourg,48.584614,7.7507127,2024-05-16 09:00:00,14.59,88,6,2024-05-17 09:00:00,12.58,93,6,2024-05-18 09:00:00,16.76,71,2,2024-05-19 09:00:00,17.67,73,4,2024-05-20 09:00:00,18.12,76,4,15.944000000000003,4.4
22,7,Lille,50.6365654,3.0635282,2024-05-16 09:00:00,13.79,88,6,2024-05-17 09:00:00,16.42,70,4,2024-05-18 09:00:00,11.72,96,6,2024-05-19 09:00:00,17.3,65,1,2024-05-20 09:00:00,17.27,72,5,15.3,4.4
23,10,Colmar,48.0777517,7.3579641,2024-05-16 09:00:00,14.04,87,6,2024-05-17 09:00:00,12.93,92,6,2024-05-18 09:00:00,18.59,55,1,2024-05-19 09:00:00,18.41,68,4,2024-05-20 09:00:00,19.11,71,6,16.616,4.6
24,11,Eguisheim,48.0447968,7.3079618,2024-05-16 09:00:00,13.69,87,6,2024-05-17 09:00:00,12.42,93,6,2024-05-18 09:00:00,18.26,54,1,2024-05-19 09:00:00,18.28,66,4,2024-05-20 09:00:00,18.83,70,6,16.296,4.6
25,0,Mont Saint Michel,48.6359541,-1.511459954959514,2024-05-16 09:00:00,12.19,89,2,2024-05-17 09:00:00,14.85,83,5,2024-05-18 09:00:00,16.36,77,6,2024-05-19 09:00:00,16.22,75,5,2024-05-20 09:00:00,15.28,83,5,14.979999999999999,4.6
26,31,Montauban,44.0175835,1.3549991,2024-05-16 09:00:00,12.33,84,5,2024-05-17 09:00:00,15.91,73,3,2024-05-18 09:00:00,13.49,92,6,2024-05-19 09:00:00,14.28,86,5,2024-05-20 09:00:00,14.52,87,5,14.106,4.8
27,4,Rouen,49.4404591,1.0939658,2024-05-16 09:00:00,13.49,87,4,2024-05-17 09:00:00,14.81,78,5,2024-05-18 09:00:00,17.1,76,6,2024-05-19 09:00:00,16.84,77,6,2024-05-20 09:00:00,16.1,84,4,15.668000000000001,5.0
28,34,La Rochelle,46.1591126,-1.1520434,2024-05-16 09:00:00,13.18,86,6,2024-05-17 09:00:00,12.85,89,6,2024-05-18 09:00:00,14.8,79,5,2024-05-19 09:00:00,15.6,76,4,2024-05-20 09:00:00,15.4,79,4,14.366,5.0
29,29,Ariege,42.8458016,1.6067586,2024-05-16 09:00:00,11.19,78,6,2024-05-17 09:00:00,17.18,53,1,2024-05-18 09:00:00,13.72,90,6,2024-05-19 09:00:00,16.65,75,6,2024-05-20 09:00:00,12.63,99,6,14.273999999999997,5.0
30,9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,2024-05-16 09:00:00,10.87,89,6,2024-05-17 09:00:00,10.34,91,6,2024-05-18 09:00:00,16.83,52,1,2024-05-19 09:00:00,15.68,70,6,2024-05-20 09:00:00,17.11,69,6,14.166,5.0
31,6,Amiens,49.8941708,2.2956951,2024-05-16 09:00:00,13.53,91,6,2024-05-17 09:00:00,15.48,74,5,2024-05-18 09:00:00,16.13,78,5,2024-05-19 09:00:00,15.34,82,5,2024-05-20 09:00:00,15.47,88,5,15.190000000000001,5.2
32,13,Dijon,47.3215806,5.0414701,2024-05-16 09:00:00,11.33,95,5,2024-05-17 09:00:00,14.88,76,6,2024-05-18 09:00:00,15.96,78,5,2024-05-19 09:00:00,16.72,74,6,2024-05-20 09:00:00,15.74,81,5,14.925999999999998,5.4
33,32,Biarritz,43.4832523,-1.5592776,2024-05-16 09:00:00,13.14,80,6,2024-05-17 09:00:00,13.18,90,6,2024-05-18 09:00:00,13.32,92,6,2024-05-19 09:00:00,14.39,84,6,2024-05-20 09:00:00,14.6,87,6,13.725999999999999,6.0
34,33,Bayonne,43.4945144,-1.4736657,2024-05-16 09:00:00,13.43,80,6,2024-05-17 09:00:00,12.9,93,6,2024-05-18 09:00:00,13.21,93,6,2024-05-19 09:00:00,14.48,85,6,2024-05-20 09:00:00,14.5,89,6,13.703999999999999,6.0
